TimeStamp	SystemTimeStamp	Error	Behavior	EyeLeft	EyeRight	OnsetS	DurationS	VelocityDegps	AmplitudeDeg	DirectionRadial	
87519784000	57229532022	None	Fixation	(152.31, 215.49)	(214.73, 199.02)	36.2663	0.06666565	NaN	NaN	NaN	
87536451000	57246198687	None	Fixation	(152.80, 215.33)	(214.49, 199.36)	36.2663	0.08333206	NaN	NaN	NaN	
87553117000	57262864349	None	Fixation	(153.04, 215.48)	(214.06, 199.36)	36.2663	0.09999847	NaN	NaN	NaN	
87553117000	57262864334	None	Fixation	(153.04, 215.48)	(214.06, 199.36)	36.2663	0.09999847	NaN	NaN	NaN	
87569784000	57279530969	None	Fixation	(153.28, 215.48)	(213.65, 199.53)	36.2663	0.1166649	NaN	NaN	NaN	
87586451000	57296197160	None	Fixation	(153.73, 215.49)	(213.30, 199.57)	36.2663	0.1333313	NaN	NaN	NaN	
87603116000	57312861867	None	Fixation	(153.70, 216.65)	(213.24, 199.78)	36.2663	0.1499977	NaN	NaN	NaN	
87636449000	57346194344	None	Fixation	(153.73, 215.85)	(213.04, 200.00)	36.2663	0.1833305	NaN	NaN	NaN	
87653116000	57362860914	None	Fixation	(154.76, 215.67)	(213.01, 200.02)	36.2663	0.1999969	NaN	NaN	NaN	
87669783000	57379527530	None	Fixation	(154.33, 216.37)	(213.12, 200.09)	36.2663	0.2166634	NaN	NaN	NaN	
87669783000	57379527157	None	Fixation	(154.33, 216.37)	(213.12, 200.09)	36.2663	0.2166634	NaN	NaN	NaN	
87703116000	57412859810	None	Fixation	(154.28, 215.75)	(213.31, 200.28)	36.2663	0.2499962	NaN	NaN	NaN	
87719783000	57429526381	None	Fixation	(154.37, 215.66)	(213.25, 200.33)	36.2663	0.2666626	NaN	NaN	NaN	
87736449000	57446192013	None	Fixation	(153.92, 215.94)	(213.20, 200.48)	36.2663	0.283329	NaN	NaN	NaN	
87753116000	57462858757	None	Fixation	(153.33, 216.27)	(213.46, 200.47)	36.2663	0.2999954	NaN	NaN	NaN	
87769782000	57479524213	None	Fixation	(153.42, 216.18)	(213.46, 200.47)	36.2663	0.3166618	NaN	NaN	NaN	
87786448000	57496189846	None	Fixation	(153.57, 216.65)	(213.64, 200.69)	36.2663	0.3333282	NaN	NaN	NaN	
87803115000	57512856452	None	Fixation	(153.64, 216.05)	(213.40, 200.67)	36.2663	0.3499947	NaN	NaN	NaN	
87819781000	57529522124	None	Fixation	(153.77, 215.73)	(213.52, 200.88)	36.2663	0.3666611	NaN	NaN	NaN	
87836448000	57546188680	None	Fixation	(154.27, 215.65)	(213.23, 201.20)	36.2663	0.3833275	NaN	NaN	NaN	
87853115000	57562855279	None	Fixation	(154.79, 214.97)	(213.15, 201.18)	36.2663	0.3999977	NaN	NaN	NaN	
87869780000	57579520165	None	Fixation	(154.86, 215.05)	(213.09, 201.44)	36.2663	0.4166603	NaN	NaN	NaN	
87886447000	57596186900	None	Fixation	(155.11, 214.86)	(212.95, 201.44)	36.2663	0.4333267	NaN	NaN	NaN	
87903114000	57612853261	None	Fixation	(154.56, 216.43)	(213.05, 201.68)	36.2663	0.4499931	NaN	NaN	NaN	
87919780000	57629518720	None	Fixation	(155.11, 215.05)	(213.01, 201.95)	36.2663	0.4666595	NaN	NaN	NaN	
87936447000	57646185650	None	Fixation	(154.95, 215.34)	(213.09, 202.01)	36.2663	0.4833298	NaN	NaN	NaN	
87953113000	57662851024	None	Fixation	(154.85, 215.07)	(213.16, 202.28)	36.2663	0.4999924	NaN	NaN	NaN	
87969780000	57679517605	None	Fixation	(154.98, 215.03)	(213.27, 202.41)	36.2663	0.5166626	NaN	NaN	NaN	
87969780000	57679517623	None	Fixation	(154.98, 215.03)	(213.27, 202.41)	36.2663	0.5166626	NaN	NaN	NaN	
87986447000	57696184201	None	Fixation	(155.09, 214.97)	(213.07, 202.98)	36.2663	0.533329	NaN	NaN	NaN	
88003112000	57712849065	None	Fixation	(155.29, 215.35)	(212.92, 202.80)	36.2663	0.5499916	NaN	NaN	NaN	
88003112000	57712848403	None	Fixation	(155.29, 215.35)	(212.92, 202.80)	36.2663	0.5499916	NaN	NaN	NaN	
88053112000	57762847673	None	Unknown	(149.58, 235.02)	(206.82, 187.83)	NaN	NaN	NaN	NaN	NaN	
88069779000	57779514258	None	Pursuit	(149.66, 234.83)	(206.77, 187.73)	36.8663	0.01666641	2.438179	0.08127265	190.5204	
88086446000	57796180859	None	Pursuit	(149.92, 233.91)	(206.80, 187.80)	36.8663	0.03333282	11.81675	0.4745792	184.2561	
88103112000	57812846555	None	Unknown	(150.26, 233.44)	(207.01, 187.71)	NaN	NaN	NaN	NaN	NaN	
88119779000	57829513039	None	Fixation	(150.08, 233.38)	(207.18, 187.91)	36.9163	0.01666641	NaN	NaN	NaN	
88136445000	57846178725	None	Fixation	(150.41, 232.73)	(207.45, 187.81)	36.9163	0.03333282	NaN	NaN	NaN	
88153112000	57862845349	None	Fixation	(149.76, 233.01)	(207.34, 188.01)	36.9163	0.04999924	NaN	NaN	NaN	
88169778000	57879511079	None	Fixation	(150.01, 232.82)	(207.53, 188.03)	36.9163	0.06666565	NaN	NaN	NaN	
88186445000	57896177506	None	Fixation	(150.16, 232.45)	(207.69, 187.97)	36.9163	0.08333206	NaN	NaN	NaN	
88203112000	57912844234	None	Fixation	(149.89, 232.60)	(207.61, 187.83)	36.9163	0.09999847	NaN	NaN	NaN	
88219779000	57929511128	None	Fixation	(149.69, 232.71)	(207.54, 187.71)	36.9163	0.1166649	NaN	NaN	NaN	
88236445000	57946176398	None	Fixation	(149.55, 232.85)	(207.54, 187.53)	36.9163	0.1333313	NaN	NaN	NaN	
88253112000	57962842951	None	Fixation	(149.33, 233.04)	(207.72, 187.38)	36.9163	0.1499977	NaN	NaN	NaN	
88269777000	57979507595	None	Fixation	(148.57, 233.47)	(207.97, 187.21)	36.9163	0.1666641	NaN	NaN	NaN	
88286444000	57996174541	None	Fixation	(149.40, 232.77)	(207.88, 187.31)	36.9163	0.1833305	NaN	NaN	NaN	
88303111000	58012840873	None	Fixation	(149.19, 233.06)	(208.29, 187.21)	36.9163	0.1999969	NaN	NaN	NaN	
88319777000	58029506456	None	Fixation	(149.05, 233.05)	(208.81, 187.32)	36.9163	0.2166634	NaN	NaN	NaN	
88336444000	58046173085	None	Saccade	(152.64, 226.62)	(210.03, 192.53)	37.13296	0.01666641	90.52316	3.017439	188.0759	
88353111000	58062839808	None	Saccade	(158.11, 213.50)	(213.42, 206.96)	37.13296	0.03333282	174.9213	8.834969	185.8453	
88369777000	58079505362	None	Saccade	(161.99, 204.53)	(216.36, 217.28)	37.13296	0.04999924	120.1599	12.83942	185.1467	
88369777000	58079505308	None	Saccade	(161.99, 204.53)	(216.36, 217.28)	37.13296	0.04999924	120.1599	12.83942	185.1467	
88386444000	58096171854	None	Unknown	(162.33, 204.36)	(216.43, 217.63)	NaN	NaN	NaN	NaN	NaN	
88403109000	58112836468	None	Pursuit	(162.23, 203.90)	(216.53, 217.31)	37.19963	0.0166626	5.757734	0.1919245	154.1877	
88419776000	58129503071	None	Pursuit	(161.96, 204.03)	(216.64, 216.79)	37.19963	0.03332901	3.665812	0.2034493	118.3329	
88436443000	58146169704	None	Unknown	(161.49, 203.87)	(216.82, 216.28)	NaN	NaN	NaN	NaN	NaN	
88453109000	58162835321	None	Fixation	(161.20, 203.79)	(216.68, 215.86)	37.24963	0.01666641	NaN	NaN	NaN	
88486443000	58196168561	None	Fixation	(160.87, 203.90)	(217.26, 215.34)	37.24963	0.05000305	NaN	NaN	NaN	
88503109000	58212834237	None	Fixation	(160.76, 203.75)	(217.26, 215.21)	37.24963	0.06666946	NaN	NaN	NaN	
88519776000	58229500826	None	Fixation	(160.42, 204.03)	(217.29, 214.76)	37.24963	0.08333588	NaN	NaN	NaN	
88536441000	58246165431	None	Fixation	(160.46, 203.91)	(217.38, 214.77)	37.24963	0.09999847	NaN	NaN	NaN	
88553108000	58262832067	None	Fixation	(160.32, 203.70)	(217.79, 214.64)	37.24963	0.1166649	NaN	NaN	NaN	
88569775000	58279498645	None	Fixation	(160.39, 203.95)	(217.44, 214.41)	37.24963	0.1333351	NaN	NaN	NaN	
