TimeStamp	SystemTimeStamp	Error	Behavior	EyeLeft	EyeRight	OnsetS	DurationS	VelocityDegps	AmplitudeDeg	DirectionRadial	
292567737000	284580100796	None	Fixation	(126.63, 161.06)	(292.97, 201.18)	261.7141	0.4833374	NaN	NaN	NaN	
292584404000	284596767472	None	Fixation	(126.51, 160.97)	(292.62, 200.96)	261.7141	0.5	NaN	NaN	NaN	
292601070000	284613433088	None	Fixation	(126.09, 161.06)	(292.73, 201.07)	261.7141	0.5166626	NaN	NaN	NaN	
292617737000	284630099623	None	Fixation	(126.06, 161.18)	(292.56, 201.18)	261.7141	0.5333252	NaN	NaN	NaN	
292634402000	284646764229	None	Fixation	(126.03, 161.13)	(292.35, 201.11)	261.7141	0.5499878	NaN	NaN	NaN	
292651069000	284663430968	None	Fixation	(126.20, 161.28)	(292.20, 201.01)	261.7141	0.5666504	NaN	NaN	NaN	
292667736000	284680097504	None	Fixation	(126.17, 161.23)	(292.40, 200.95)	261.7141	0.583313	NaN	NaN	NaN	
292684402000	284696763347	None	Fixation	(125.89, 161.44)	(292.37, 200.96)	261.7141	0.6000061	NaN	NaN	NaN	
292701067000	284713427796	None	Fixation	(126.24, 161.42)	(292.31, 201.06)	261.7141	0.6166687	NaN	NaN	NaN	
292717734000	284730094669	None	Fixation	(125.72, 162.14)	(291.48, 200.05)	261.7141	0.6333313	NaN	NaN	NaN	
292734401000	284746761337	None	Saccade	(122.96, 168.12)	(287.97, 193.73)	262.3474	0.0166626	81.03143	2.963727	177.8664	
292751068000	284763428034	None	Unknown	(122.33, 169.93)	(287.92, 192.31)	NaN	NaN	NaN	NaN	NaN	
292767735000	284780094174	None	Pursuit	(122.22, 169.39)	(287.64, 192.39)	262.3807	0.0166626	6.806742	0.2268914	155.0877	
292784401000	284796759851	None	Pursuit	(122.30, 169.46)	(286.85, 191.94)	262.3807	0.0333252	1.340546	0.1930104	163.071	
292801068000	284813426417	None	Unknown	(122.24, 169.46)	(287.08, 192.04)	NaN	NaN	NaN	NaN	NaN	
292817734000	284830092088	None	Fixation	(122.43, 169.59)	(287.13, 192.01)	262.4307	0.01669312	NaN	NaN	NaN	
292834401000	284846758581	None	Fixation	(122.36, 169.56)	(286.99, 191.95)	262.4307	0.03335571	NaN	NaN	NaN	
